projectDescriptionID,releaseID,sourceOfFishSiteID,releaseSiteID,releaseSubSiteID,nReleased,releaseTime,testDays,appliedMarkPositionID,releasePurpose,commonName,markedRun,markedLifeStage,markedFishOrigin,releaseLightCondition,includeTest,appliedMarkType,appliedMarkColor
9,567,63000,62000,NA,2761,2009-03-01T16:30:50Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,568,63000,62000,NA,1106,2009-03-15T15:15:50Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,569,63000,62000,NA,1234,2009-03-21T14:00:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,570,63000,62000,NA,1106,2009-03-08T13:15:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,571,63000,62000,NA,465,2010-01-20T16:00:50Z,3,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,572,63000,62000,NA,3273,2010-01-23T16:00:50Z,5,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,573,63000,62000,NA,1096,2010-01-30T16:00:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,574,255,62000,NA,399,2010-02-10T16:00:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,575,63000,62000,NA,171,2010-03-03T16:00:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,576,63000,62000,NA,708,2011-01-03T13:00:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,577,63000,62000,NA,370,2011-02-23T12:15:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,578,63000,62000,NA,414,2011-03-21T12:00:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,579,63000,62000,NA,205,2011-03-30T12:15:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,580,63000,62000,NA,136,2011-04-23T11:15:50Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,NA,Not recorded,NA,Yes,Pigment / dye,Brown
9,581,NA,62000,62001,1033,2017-09-27T16:20:17Z,21,13,Trap capture efficiency test,Chinook salmon,Late fall,Smolt,Hatchery,NA,Yes,Elastomer,Pink
9,582,NA,62000,NA,1311,2017-10-18T16:45:17Z,21,13,Trap capture efficiency test,Chinook salmon,Late fall,Smolt,Hatchery,NA,Yes,Elastomer,Green
9,583,NA,62000,NA,947,2017-11-30T10:10:17Z,40,13,Trap capture efficiency test,Chinook salmon,Late fall,Smolt,Hatchery,NA,Yes,Elastomer,Purple / Violet
9,584,NA,62000,NA,240,2018-04-12T10:20:17Z,40,21,Trap capture efficiency test,Chinook salmon,Other,Juvenile,Unknown,NA,Yes,Pigment / dye,Brown
9,585,NA,62000,NA,959,2017-11-08T16:30:17Z,22,13,Trap capture efficiency test,Chinook salmon,Late fall,Smolt,Hatchery,NA,Yes,Elastomer,Pink
