projectDescriptionID,releaseFishID,releaseID,nMarked,forkLength,weight
9,1,259,1,64,NA
9,2,1,1,NA,NA
9,3,256,1,NA,NA
9,4,258,1,57,NA
9,5,262,1,NA,NA
9,6,259,1,60,NA
9,7,259,1,58,NA
9,8,259,1,64,NA
9,9,259,1,63,NA
9,10,259,1,68,NA
9,11,259,1,66,NA
9,12,259,1,63,NA
9,13,259,1,63,NA
9,14,259,1,58,NA
9,15,259,1,71,NA
9,16,259,1,66,NA
9,17,259,1,70,NA
9,18,259,1,65,NA
9,19,259,1,66,NA
9,20,259,1,69,NA
9,21,259,1,73,NA
9,22,259,1,65,NA
9,23,259,1,57,NA
9,24,259,1,73,NA
9,25,259,1,74,NA
9,26,259,1,67,NA
9,27,259,1,64,NA
9,28,259,1,66,NA
9,29,259,1,69,NA
9,30,259,1,62,NA
9,31,259,1,59,NA
9,32,259,1,67,NA
9,33,259,1,59,NA
9,34,259,1,72,NA
9,35,259,1,66,NA
9,36,259,1,59,NA
9,37,259,1,73,NA
9,38,259,1,65,NA
9,39,259,1,71,NA
9,40,259,1,59,NA
9,41,259,1,68,NA
9,42,259,1,67,NA
9,43,259,1,70,NA
9,44,259,1,56,NA
9,45,259,1,63,NA
9,46,259,1,67,NA
9,47,259,1,73,NA
9,48,259,1,68,NA
9,49,259,1,64,NA
9,50,259,1,64,NA
9,51,259,1,69,NA
9,52,259,1,73,NA
9,53,259,1,75,NA
9,54,259,1,61,NA
9,55,259,1,66,NA
9,56,259,1,73,NA
9,57,259,1,67,NA
9,58,259,1,73,NA
9,59,259,1,68,NA
9,60,259,1,68,NA
9,61,259,1,55,NA
9,62,259,1,64,NA
9,63,259,1,72,NA
9,64,259,1,68,NA
9,65,259,1,68,NA
9,66,259,1,67,NA
9,67,259,1,76,NA
9,68,259,1,66,NA
9,69,259,1,67,NA
9,70,259,1,69,NA
9,71,259,1,68,NA
9,72,259,1,66,NA
9,73,259,1,73,NA
9,74,259,1,72,NA
9,75,259,1,65,NA
9,76,259,1,71,NA
9,77,259,1,63,NA
9,78,259,1,66,NA
